# speed_ms: 1.200
# origin_ned_m: N=-0.2241,E=-0.0034,D=-2.4184
# waypoint_01_ned_m: N=-0.2241,E=-0.0034,D=-2.4184
# waypoint_02_ned_m: N=-0.2668,E=2.9963,D=-2.4184
# waypoint_03_ned_m: N=-3.2665,E=2.9536,D=-2.4184
# waypoint_04_ned_m: N=-3.2238,E=-0.0461,D=-2.4184
# waypoint_05_ned_m: N=-0.2241,E=-0.0034,D=-2.4184
timestamp_s,desired_N_m,desired_E_m,desired_D_m,actual_N_m,actual_E_m,actual_D_m,error_3d_m,gps_num_satellites,gps_fix_type,desired_fwd_m,desired_right_m,actual_fwd_m,actual_right_m
1784212167.724,-0.2241,-0.0034,-2.4184,-0.9635,-0.0125,-2.3995,0.7397,10,0,0.0000,-0.0000,0.0015,0.7394
1784212167.776,-0.2241,-0.0034,-2.4184,-0.9128,-0.0091,-2.3996,0.6890,10,0,0.0000,-0.0000,0.0041,0.6887
1784212167.828,-0.2241,-0.0034,-2.4184,-0.8881,-0.0074,-2.3997,0.6643,10,0,0.0000,-0.0000,0.0054,0.6640
1784212167.883,-0.2241,-0.0034,-2.4184,-0.8348,-0.0040,-2.3997,0.6110,10,0,0.0000,-0.0000,0.0081,0.6106
1784212167.935,-0.2241,-0.0034,-2.4184,-0.8121,-0.0026,-2.3994,0.5883,10,0,0.0000,-0.0000,0.0091,0.5879
1784212167.986,-0.2241,-0.0034,-2.4184,-0.7694,-0.0002,-2.3988,0.5457,10,0,0.0000,-0.0000,0.0110,0.5452
1784212168.039,-0.2241,-0.0034,-2.4184,-0.7495,0.0009,-2.3984,0.5259,10,0,0.0000,-0.0000,0.0118,0.5254
1784212168.091,-0.2241,-0.0034,-2.4184,-0.7090,0.0030,-2.3975,0.4854,10,0,0.0000,-0.0000,0.0133,0.4847
1784212168.144,-0.2241,-0.0034,-2.4184,-0.6714,0.0058,-2.3969,0.4480,10,0,0.0000,-0.0000,0.0155,0.4472
1784212168.197,-0.2241,-0.0034,-2.4184,-0.6537,0.0072,-2.3967,0.4303,10,0,0.0000,-0.0000,0.0167,0.4294
1784212168.249,-0.2241,-0.0034,-2.4184,-0.6220,0.0097,-2.3963,0.3988,10,0,0.0000,-0.0000,0.0188,0.3977
1784212168.301,-0.2241,-0.0034,-2.4184,-0.6046,0.0111,-2.3961,0.3814,10,0,0.0000,-0.0000,0.0200,0.3802
1784212168.354,-0.2241,-0.0034,-2.4184,-0.5799,0.0131,-2.3953,0.3569,10,0,0.0000,-0.0000,0.0215,0.3555
1784212168.407,-0.2241,-0.0034,-2.4184,-0.5688,0.0139,-2.3950,0.3459,10,0,0.0000,-0.0000,0.0222,0.3444
1784212168.409,-0.2668,2.9963,-2.4184,-0.5584,0.0146,-2.3947,2.9960,10,0,3.0000,0.0000,0.0227,0.3341
1784212168.462,-0.2668,2.9963,-2.4184,-0.5488,0.0153,-2.3944,2.9944,10,0,3.0000,0.0000,0.0233,0.3244
1784212168.525,-0.2668,2.9963,-2.4184,-0.5270,0.0166,-2.3939,2.9912,10,0,3.0000,0.0000,0.0243,0.3026
1784212168.582,-0.2668,2.9963,-2.4184,-0.5154,0.0173,-2.3938,2.9895,10,0,3.0000,0.0000,0.0248,0.2910
1784212168.636,-0.2668,2.9963,-2.4184,-0.4939,0.0185,-2.3938,2.9865,10,0,3.0000,0.0000,0.0258,0.2695
1784212168.688,-0.2668,2.9963,-2.4184,-0.4838,0.0192,-2.3939,2.9851,10,0,3.0000,0.0000,0.0262,0.2593
1784212168.740,-0.2668,2.9963,-2.4184,-0.4623,0.0208,-2.3942,2.9820,10,0,3.0000,0.0000,0.0276,0.2379
1784212168.793,-0.2668,2.9963,-2.4184,-0.4533,0.0217,-2.3944,2.9805,10,0,3.0000,0.0000,0.0284,0.2288
