# speed_ms: 0.800
# origin_ned_m: N=0.0739,E=0.0402,D=-2.7665
# waypoint_01_ned_m: N=0.0739,E=0.0402,D=-2.7665
# waypoint_02_ned_m: N=0.0170,E=3.0397,D=-2.7665
# waypoint_03_ned_m: N=-2.9825,E=2.9828,D=-2.7665
# waypoint_04_ned_m: N=-2.9256,E=-0.0166,D=-2.7665
# waypoint_05_ned_m: N=0.0739,E=0.0402,D=-2.7665
timestamp_s,desired_N_m,desired_E_m,desired_D_m,actual_N_m,actual_E_m,actual_D_m,error_3d_m,gps_num_satellites,gps_fix_type,desired_fwd_m,desired_right_m,actual_fwd_m,actual_right_m
1784214780.294,0.0739,0.0402,-2.7665,-0.1853,0.0390,-2.7598,0.2592,10,0,0.0000,-0.0000,0.0037,0.2591
1784214780.349,0.0739,0.0402,-2.7665,-0.1604,0.0401,-2.7596,0.2344,10,0,0.0000,-0.0000,0.0044,0.2343
1784214780.402,0.0739,0.0402,-2.7665,-0.1340,0.0444,-2.7600,0.2080,10,0,0.0000,-0.0000,0.0081,0.2077
1784214780.456,0.0739,0.0402,-2.7665,-0.1226,0.0460,-2.7601,0.1966,10,0,0.0000,-0.0000,0.0095,0.1963
1784214780.509,0.0739,0.0402,-2.7665,-0.1008,0.0489,-2.7601,0.1750,10,0,0.0000,-0.0000,0.0120,0.1745
1784214780.563,0.0739,0.0402,-2.7665,-0.0907,0.0502,-2.7600,0.1649,10,0,0.0000,-0.0000,0.0131,0.1643
1784214780.616,0.0739,0.0402,-2.7665,-0.0701,0.0526,-2.7595,0.1447,10,0,0.0000,-0.0000,0.0151,0.1437
1784214780.668,0.0739,0.0402,-2.7665,-0.0546,0.0544,-2.7589,0.1295,10,0,0.0000,-0.0000,0.0167,0.1282
1784214780.672,0.0170,3.0397,-2.7665,-0.0546,0.0544,-2.7589,2.9861,10,0,3.0000,0.0000,0.0167,0.1282
1784214780.724,0.0170,3.0397,-2.7665,-0.0462,0.0553,-2.7585,2.9850,10,0,3.0000,0.0000,0.0174,0.1198
1784214780.776,0.0170,3.0397,-2.7665,-0.0334,0.0581,-2.7593,2.9820,10,0,3.0000,0.0000,0.0199,0.1069
1784214780.828,0.0170,3.0397,-2.7665,-0.0249,0.0600,-2.7597,2.9800,10,0,3.0000,0.0000,0.0216,0.0984
1784214780.880,0.0170,3.0397,-2.7665,-0.0132,0.0626,-2.7602,2.9773,10,0,3.0000,0.0000,0.0240,0.0866
1784214780.932,0.0170,3.0397,-2.7665,-0.0080,0.0638,-2.7603,2.9760,10,0,3.0000,0.0000,0.0251,0.0814
1784214780.985,0.0170,3.0397,-2.7665,0.0023,0.0666,-2.7602,2.9732,10,0,3.0000,0.0000,0.0277,0.0710
1784214781.037,0.0170,3.0397,-2.7665,0.0104,0.0698,-2.7598,2.9699,10,0,3.0000,0.0000,0.0307,0.0629
1784214781.089,0.0170,3.0397,-2.7665,0.0142,0.0718,-2.7596,2.9679,10,0,3.0000,0.0000,0.0327,0.0591
1784214781.141,0.0170,3.0397,-2.7665,0.0208,0.0769,-2.7599,2.9628,10,0,3.0000,0.0000,0.0377,0.0524
1784214781.194,0.0170,3.0397,-2.7665,0.0233,0.0798,-2.7610,2.9599,10,0,3.0000,0.0000,0.0405,0.0498
1784214781.247,0.0170,3.0397,-2.7665,0.0287,0.0888,-2.7633,2.9509,10,0,3.0000,0.0000,0.0494,0.0442
1784214781.300,0.0170,3.0397,-2.7665,0.0310,0.0940,-2.7641,2.9457,10,0,3.0000,0.0000,0.0546,0.0419
1784214781.353,0.0170,3.0397,-2.7665,0.0352,0.1068,-2.7655,2.9329,10,0,3.0000,0.0000,0.0673,0.0374
1784214781.406,0.0170,3.0397,-2.7665,0.0395,0.1255,-2.7668,2.9143,10,0,3.0000,0.0000,0.0859,0.0327
1784214781.460,0.0170,3.0397,-2.7665,0.0413,0.1352,-2.7672,2.9045,10,0,3.0000,0.0000,0.0956,0.0307
1784214781.513,0.0170,3.0397,-2.7665,0.0446,0.1576,-2.7678,2.8822,10,0,3.0000,0.0000,0.1179,0.0270
1784214781.566,0.0170,3.0397,-2.7665,0.0458,0.1691,-2.7686,2.8707,10,0,3.0000,0.0000,0.1294,0.0256
1784214781.619,0.0170,3.0397,-2.7665,0.0474,0.1965,-2.7712,2.8434,10,0,3.0000,0.0000,0.1567,0.0235
1784214781.671,0.0170,3.0397,-2.7665,0.0486,0.2248,-2.7726,2.8151,10,0,3.0000,0.0000,0.1850,0.0217
1784214781.725,0.0170,3.0397,-2.7665,0.0492,0.2402,-2.7731,2.7997,10,0,3.0000,0.0000,0.2004,0.0208
1784214781.778,0.0170,3.0397,-2.7665,0.0503,0.2735,-2.7738,2.7664,10,0,3.0000,0.0000,0.2337,0.0192
