# speed_ms: 1.500
# origin_ned_m: N=0.0384,E=0.1070,D=-2.9952
# waypoint_01_ned_m: N=0.0384,E=0.1070,D=-2.9952
# waypoint_02_ned_m: N=-0.0428,E=3.1059,D=-2.9952
# waypoint_03_ned_m: N=-3.0417,E=3.0247,D=-2.9952
# waypoint_04_ned_m: N=-2.9605,E=0.0258,D=-2.9952
# waypoint_05_ned_m: N=0.0384,E=0.1070,D=-2.9952
timestamp_s,desired_N_m,desired_E_m,desired_D_m,actual_N_m,actual_E_m,actual_D_m,error_3d_m,gps_num_satellites,gps_fix_type,desired_fwd_m,desired_right_m,actual_fwd_m,actual_right_m
1784274396.412,0.0384,0.1070,-2.9952,-0.5492,0.0870,-2.9765,0.5883,10,0,0.0000,-0.0000,-0.0041,0.5879
1784274396.465,0.0384,0.1070,-2.9952,-0.4358,0.0971,-2.9760,0.4747,10,0,0.0000,-0.0000,0.0029,0.4743
1784274396.516,0.0384,0.1070,-2.9952,-0.4026,0.0999,-2.9761,0.4415,10,0,0.0000,-0.0000,0.0049,0.4411
1784274396.568,0.0384,0.1070,-2.9952,-0.3333,0.1055,-2.9771,0.3721,10,0,0.0000,-0.0000,0.0086,0.3716
1784274396.620,0.0384,0.1070,-2.9952,-0.2794,0.1095,-2.9787,0.3182,10,0,0.0000,-0.0000,0.0111,0.3176
1784274396.675,0.0384,0.1070,-2.9952,-0.2558,0.1111,-2.9796,0.2947,10,0,0.0000,-0.0000,0.0121,0.2940
1784274396.727,0.0384,0.1070,-2.9952,-0.2162,0.1138,-2.9814,0.2551,10,0,0.0000,-0.0000,0.0136,0.2543
1784274396.779,0.0384,0.1070,-2.9952,-0.2002,0.1148,-2.9820,0.2391,10,0,0.0000,-0.0000,0.0143,0.2383
1784274396.831,0.0384,0.1070,-2.9952,-0.1649,0.1168,-2.9817,0.2039,10,0,0.0000,-0.0000,0.0153,0.2029
1784274396.882,0.0384,0.1070,-2.9952,-0.1489,0.1174,-2.9808,0.1881,10,0,0.0000,-0.0000,0.0154,0.1870
1784274396.934,0.0384,0.1070,-2.9952,-0.1242,0.1182,-2.9779,0.1639,10,0,0.0000,-0.0000,0.0156,0.1622
1784274396.937,-0.0428,3.1059,-2.9952,-0.1242,0.1182,-2.9779,2.9889,10,0,3.0000,-0.0000,0.0156,0.1622
1784274396.990,-0.0428,3.1059,-2.9952,-0.1149,0.1184,-2.9759,2.9884,10,0,3.0000,-0.0000,0.0156,0.1529
1784274397.042,-0.0428,3.1059,-2.9952,-0.0994,0.1186,-2.9710,2.9879,10,0,3.0000,-0.0000,0.0154,0.1375
1784274397.095,-0.0428,3.1059,-2.9952,-0.0903,0.1187,-2.9672,2.9877,10,0,3.0000,-0.0000,0.0152,0.1283
1784274397.147,-0.0428,3.1059,-2.9952,-0.0866,0.1189,-2.9657,2.9874,10,0,3.0000,-0.0000,0.0153,0.1247
1784274397.199,-0.0428,3.1059,-2.9952,-0.0800,0.1203,-2.9633,2.9860,10,0,3.0000,-0.0000,0.0165,0.1180
1784274397.251,-0.0428,3.1059,-2.9952,-0.0754,0.1205,-2.9622,2.9858,10,0,3.0000,-0.0000,0.0165,0.1134
1784274397.303,-0.0428,3.1059,-2.9952,-0.0665,0.1230,-2.9612,2.9832,10,0,3.0000,-0.0000,0.0188,0.1044
1784274397.356,-0.0428,3.1059,-2.9952,-0.0578,0.1292,-2.9612,2.9770,10,0,3.0000,-0.0000,0.0248,0.0955
1784274397.409,-0.0428,3.1059,-2.9952,-0.0522,0.1353,-2.9617,2.9708,10,0,3.0000,-0.0000,0.0307,0.0898
1784274397.463,-0.0428,3.1059,-2.9952,-0.0429,0.1492,-2.9631,2.9569,10,0,3.0000,-0.0000,0.0444,0.0801
1784274397.515,-0.0428,3.1059,-2.9952,-0.0382,0.1584,-2.9641,2.9477,10,0,3.0000,-0.0000,0.0534,0.0752
1784274397.567,-0.0428,3.1059,-2.9952,-0.0285,0.1814,-2.9666,2.9247,10,0,3.0000,-0.0000,0.0762,0.0649
1784274397.621,-0.0428,3.1059,-2.9952,-0.0230,0.1975,-2.9683,2.9086,10,0,3.0000,-0.0000,0.0921,0.0589
1784274397.674,-0.0428,3.1059,-2.9952,-0.0169,0.2200,-2.9712,2.8861,10,0,3.0000,-0.0000,0.1145,0.0523
1784274397.726,-0.0428,3.1059,-2.9952,-0.0108,0.2510,-2.9741,2.8552,10,0,3.0000,-0.0000,0.1452,0.0453
1784274397.779,-0.0428,3.1059,-2.9952,-0.0077,0.2695,-2.9754,2.8367,10,0,3.0000,-0.0000,0.1637,0.0417
1784274397.832,-0.0428,3.1059,-2.9952,-0.0012,0.3186,-2.9779,2.7877,10,0,3.0000,-0.0000,0.2126,0.0339
1784274397.884,-0.0428,3.1059,-2.9952,0.0015,0.3435,-2.9789,2.7628,10,0,3.0000,-0.0000,0.2374,0.0305
1784274397.936,-0.0428,3.1059,-2.9952,0.0068,0.4063,-2.9808,2.7001,10,0,3.0000,-0.0000,0.3001,0.0235
1784274397.989,-0.0428,3.1059,-2.9952,0.0083,0.4292,-2.9814,2.6772,10,0,3.0000,-0.0000,0.3229,0.0214
1784274398.041,-0.0428,3.1059,-2.9952,0.0112,0.4971,-2.9832,2.6094,10,0,3.0000,-0.0000,0.3907,0.0166
1784274398.094,-0.0428,3.1059,-2.9952,0.0117,0.5581,-2.9849,2.5484,10,0,3.0000,-0.0000,0.4517,0.0145
1784274398.146,-0.0428,3.1059,-2.9952,0.0116,0.5913,-2.9854,2.5152,10,0,3.0000,-0.0000,0.4848,0.0137
1784274398.197,-0.0428,3.1059,-2.9952,0.0108,0.6713,-2.9863,2.4352,10,0,3.0000,-0.0000,0.5649,0.0123
1784274398.249,-0.0428,3.1059,-2.9952,0.0102,0.7091,-2.9866,2.3974,10,0,3.0000,-0.0000,0.6026,0.0119
1784274398.302,-0.0428,3.1059,-2.9952,0.0086,0.7881,-2.9868,2.3184,10,0,3.0000,-0.0000,0.6816,0.0114
1784274398.354,-0.0428,3.1059,-2.9952,0.0066,0.8714,-2.9868,2.2351,10,0,3.0000,-0.0000,0.7649,0.0111
1784274398.407,-0.0428,3.1059,-2.9952,0.0051,0.9252,-2.9866,2.1812,10,0,3.0000,-0.0000,0.8188,0.0111
1784274398.459,-0.0428,3.1059,-2.9952,0.0003,1.0087,-2.9869,2.0977,10,0,3.0000,-0.0000,0.9024,0.0137
1784274398.512,-0.0428,3.1059,-2.9952,-0.0020,1.0517,-2.9869,2.0546,10,0,3.0000,-0.0000,0.9454,0.0148
1784274398.564,-0.0428,3.1059,-2.9952,-0.0064,1.1399,-2.9869,1.9664,10,0,3.0000,-0.0000,1.0337,0.0169
1784274398.617,-0.0428,3.1059,-2.9952,-0.0091,1.1963,-2.9869,1.9100,10,0,3.0000,-0.0000,1.0902,0.0180
1784274398.670,-0.0428,3.1059,-2.9952,-0.0131,1.2882,-2.9869,1.8179,10,0,3.0000,-0.0000,1.1822,0.0195
1784274398.722,-0.0428,3.1059,-2.9952,-0.0150,1.3348,-2.9867,1.7713,10,0,3.0000,-0.0000,1.2288,0.0201
1784274398.775,-0.0428,3.1059,-2.9952,-0.0186,1.4291,-2.9865,1.6770,10,0,3.0000,-0.0000,1.3231,0.0212
1784274398.828,-0.0428,3.1059,-2.9952,-0.0252,1.5362,-2.9868,1.5699,10,0,3.0000,-0.0000,1.4304,0.0249
1784274398.879,-0.0428,3.1059,-2.9952,-0.0294,1.5840,-2.9870,1.5220,10,0,3.0000,-0.0000,1.4783,0.0278
1784274398.931,-0.0428,3.1059,-2.9952,-0.0372,1.6803,-2.9871,1.4256,10,0,3.0000,-0.0000,1.5748,0.0330
1784274398.985,-0.0428,3.1059,-2.9952,-0.0407,1.7288,-2.9871,1.3772,10,0,3.0000,-0.0000,1.6233,0.0351
1784274399.037,-0.0428,3.1059,-2.9952,-0.0476,1.8381,-2.9871,1.2678,10,0,3.0000,-0.0000,1.7328,0.0391
1784274399.038,-3.0417,3.0247,-2.9952,-0.0476,1.8381,-2.9871,3.2207,10,0,3.0000,3.0000,1.7328,0.0391
1784274399.091,-3.0417,3.0247,-2.9952,-0.0503,1.8869,-2.9870,3.2005,10,0,3.0000,3.0000,1.7816,0.0404
1784274399.143,-3.0417,3.0247,-2.9952,-0.0550,1.9845,-2.9866,3.1627,10,0,3.0000,3.0000,1.8793,0.0426
1784274399.195,-3.0417,3.0247,-2.9952,-0.0596,2.0942,-2.9861,3.1239,10,0,3.0000,3.0000,1.9891,0.0442
1784274399.247,-3.0417,3.0247,-2.9952,-0.0643,2.1437,-2.9861,3.1050,10,0,3.0000,3.0000,2.0388,0.0475
1784274399.298,-3.0417,3.0247,-2.9952,-0.0733,2.2417,-2.9861,3.0699,10,0,3.0000,3.0000,2.1370,0.0539
1784274399.351,-3.0417,3.0247,-2.9952,-0.0779,2.2900,-2.9859,3.0536,10,0,3.0000,3.0000,2.1853,0.0571
1784274399.403,-3.0417,3.0247,-2.9952,-0.0889,2.3957,-2.9856,3.0191,10,0,3.0000,3.0000,2.2913,0.0653
1784274399.456,-3.0417,3.0247,-2.9952,-0.1009,2.4856,-2.9854,2.9899,10,0,3.0000,3.0000,2.3815,0.0748
1784274399.509,-3.0417,3.0247,-2.9952,-0.1100,2.5393,-2.9855,2.9717,10,0,3.0000,3.0000,2.4354,0.0825
1784274399.562,-3.0417,3.0247,-2.9952,-0.1253,2.6105,-2.9861,2.9457,10,0,3.0000,3.0000,2.5071,0.0959
1784274399.614,-3.0417,3.0247,-2.9952,-0.1384,2.6584,-2.9867,2.9264,10,0,3.0000,3.0000,2.5552,0.1076
1784274399.666,-3.0417,3.0247,-2.9952,-0.1626,2.7374,-2.9880,2.8934,10,0,3.0000,3.0000,2.6349,0.1297
1784274399.719,-3.0417,3.0247,-2.9952,-0.1768,2.7736,-2.9888,2.8759,10,0,3.0000,3.0000,2.6715,0.1429
1784274399.772,-3.0417,3.0247,-2.9952,-0.2096,2.8394,-2.9907,2.8382,10,0,3.0000,3.0000,2.7381,0.1739
1784274399.825,-3.0417,3.0247,-2.9952,-0.2331,2.8760,-2.9919,2.8126,10,0,3.0000,3.0000,2.7754,0.1964
1784274399.878,-3.0417,3.0247,-2.9952,-0.2756,2.9277,-2.9939,2.7678,10,0,3.0000,3.0000,2.8282,0.2375
1784274399.930,-3.0417,3.0247,-2.9952,-0.3240,2.9712,-2.9957,2.7183,10,0,3.0000,3.0000,2.8729,0.2847
1784274399.983,-3.0417,3.0247,-2.9952,-0.3504,2.9900,-2.9963,2.6916,10,0,3.0000,3.0000,2.8925,0.3106
1784274400.037,-3.0417,3.0247,-2.9952,-0.4117,3.0325,-2.9969,2.6300,10,0,3.0000,3.0000,2.9366,0.3708
1784274400.089,-3.0417,3.0247,-2.9952,-0.4398,3.0519,-2.9968,2.6021,10,0,3.0000,3.0000,2.9568,0.3983
1784274400.140,-3.0417,3.0247,-2.9952,-0.5001,3.0847,-2.9963,2.5423,10,0,3.0000,3.0000,2.9912,0.4577
1784274400.193,-3.0417,3.0247,-2.9952,-0.5323,3.0983,-2.9959,2.5105,10,0,3.0000,3.0000,3.0057,0.4895
1784274400.246,-3.0417,3.0247,-2.9952,-0.6093,3.1231,-2.9947,2.4344,10,0,3.0000,3.0000,3.0326,0.5658
1784274400.298,-3.0417,3.0247,-2.9952,-0.6824,3.1391,-2.9937,2.3621,10,0,3.0000,3.0000,3.0505,0.6384
1784274400.350,-3.0417,3.0247,-2.9952,-0.7205,3.1452,-2.9933,2.3244,10,0,3.0000,3.0000,3.0576,0.6763
1784274400.402,-3.0417,3.0247,-2.9952,-0.8095,3.1546,-2.9922,2.2360,10,0,3.0000,3.0000,3.0694,0.7651
1784274400.455,-3.0417,3.0247,-2.9952,-0.8514,3.1612,-2.9913,2.1946,10,0,3.0000,3.0000,3.0772,0.8068
1784274400.508,-3.0417,3.0247,-2.9952,-0.9370,3.1711,-2.9895,2.1098,10,0,3.0000,3.0000,3.0894,0.8921
1784274400.561,-3.0417,3.0247,-2.9952,-1.0247,3.1771,-2.9877,2.0227,10,0,3.0000,3.0000,3.0978,0.9796
1784274400.614,-3.0417,3.0247,-2.9952,-1.0805,3.1792,-2.9865,1.9673,10,0,3.0000,3.0000,3.1013,1.0354
1784274400.666,-3.0417,3.0247,-2.9952,-1.1709,3.1802,-2.9848,1.8773,10,0,3.0000,3.0000,3.1048,1.1256
1784274400.718,-3.0417,3.0247,-2.9952,-1.2165,3.1797,-2.9839,1.8319,10,0,3.0000,3.0000,3.1055,1.1712
1784274400.771,-3.0417,3.0247,-2.9952,-1.3199,3.1767,-2.9823,1.7285,10,0,3.0000,3.0000,3.1053,1.2747
1784274400.824,-3.0417,3.0247,-2.9952,-1.3662,3.1746,-2.9817,1.6823,10,0,3.0000,3.0000,3.1045,1.3210
1784274400.876,-3.0417,3.0247,-2.9952,-1.4641,3.1683,-2.9804,1.5842,10,0,3.0000,3.0000,3.1008,1.4191
1784274400.928,-3.0417,3.0247,-2.9952,-1.5733,3.1598,-2.9793,1.4747,10,0,3.0000,3.0000,3.0953,1.5285
1784274400.981,-3.0417,3.0247,-2.9952,-1.6095,3.1567,-2.9790,1.4384,10,0,3.0000,3.0000,3.0932,1.5647
1784274401.034,-3.0417,3.0247,-2.9952,-1.7175,3.1469,-2.9780,1.3300,10,0,3.0000,3.0000,3.0863,1.6729
1784274401.089,-3.0417,3.0247,-2.9952,-1.7652,3.1423,-2.9777,1.2820,10,0,3.0000,3.0000,3.0830,1.7208
1784274401.142,-3.0417,3.0247,-2.9952,-1.8601,3.1327,-2.9770,1.1867,10,0,3.0000,3.0000,3.0760,1.8159
1784274401.144,-2.9605,0.0258,-2.9952,-1.8601,3.1327,-2.9770,3.2961,10,0,0.0000,3.0000,3.0760,1.8159
1784274401.196,-2.9605,0.0258,-2.9952,-1.9658,3.1218,-2.9766,3.2520,10,0,0.0000,3.0000,3.0680,1.9218
